Nome,Data,Fator de Potência
Navegantes,"05/01/2026, 7:00:00",0.881356899
Navegantes,"05/01/2026, 8:00:00",0.925306362
Navegantes,"05/01/2026, 9:00:00",0.920947222
Navegantes,"05/01/2026, 10:00:00",0.966641667
Navegantes,"05/01/2026, 11:00:00",0.926536111
Navegantes,"05/01/2026, 12:00:00",0.922903584
Navegantes,"05/01/2026, 13:00:00",0.927758333
Navegantes,"05/01/2026, 14:00:00",0.932297222
Navegantes,"05/01/2026, 15:00:00",0.932869444
Navegantes,"05/01/2026, 16:00:00",0.953305556
Navegantes,"05/01/2026, 17:00:00",0.932244444
Navegantes,"05/01/2026, 18:00:00",0.935097222
Navegantes,"05/01/2026, 19:00:00",0.935944444
Navegantes,"05/01/2026, 20:00:00",0.944366667
Navegantes,"05/01/2026, 21:00:00",0.931436111
Navegantes,"05/01/2026, 22:00:00",0.932747222
Navegantes,"05/01/2026, 23:00:00",0.935168196
Navegantes,"06/01/2026, 0:00:00",0.907605556
Navegantes,"06/01/2026, 1:00:00",0.881091667
Navegantes,"06/01/2026, 2:00:00",0.871433333
Navegantes,"06/01/2026, 3:00:00",0.870159218
Navegantes,"06/01/2026, 4:00:00",0.900466667
Navegantes,"06/01/2026, 5:00:00",0.875438889
Navegantes,"06/01/2026, 6:00:00",0.877530556
Navegantes,"06/01/2026, 7:00:00",0.911105556
Navegantes,"06/01/2026, 8:00:00",0.934258333
Navegantes,"06/01/2026, 9:00:00",0.926435121
Navegantes,"06/01/2026, 10:00:00",0.941666667
Navegantes,"06/01/2026, 11:00:00",0.945472222
Navegantes,"06/01/2026, 12:00:00",0.946627778
Navegantes,"06/01/2026, 13:00:00",0.942991667
Navegantes,"06/01/2026, 14:00:00",0.947555556
Navegantes,"06/01/2026, 15:00:00",0.934063889
Navegantes,"06/01/2026, 16:00:00",0.959897222
Navegantes,"06/01/2026, 17:00:00",0.948213889
Navegantes,"06/01/2026, 18:00:00",0.939075
Navegantes,"06/01/2026, 19:00:00",0.940763889
Navegantes,"06/01/2026, 20:00:00",0.952683333
Navegantes,"06/01/2026, 21:00:00",0.939647222
Navegantes,"06/01/2026, 22:00:00",0.938888271
Navegantes,"06/01/2026, 23:00:00",0.926772222
Navegantes,"07/01/2026, 0:00:00",0.906608333
Navegantes,"07/01/2026, 1:00:00",0.898763889
Navegantes,"07/01/2026, 2:00:00",0.913527778
Navegantes,"07/01/2026, 3:00:00",0.920340497
Navegantes,"07/01/2026, 4:00:00",0.918752778
Navegantes,"07/01/2026, 5:00:00",0.919475
Navegantes,"07/01/2026, 6:00:00",0.929544444
Navegantes,"07/01/2026, 7:00:00",0.920147222
Navegantes,"07/01/2026, 8:00:00",0.947191667
Navegantes,"07/01/2026, 9:00:00",0.940566824
Navegantes,"07/01/2026, 10:00:00",0.949116667
Navegantes,"07/01/2026, 11:00:00",0.937933333
Navegantes,"07/01/2026, 12:00:00",0.940665548
Navegantes,"07/01/2026, 13:00:00",0.936477778
Navegantes,"07/01/2026, 14:00:00",0.93285
Navegantes,"07/01/2026, 15:00:00",0.946544795
Navegantes,"07/01/2026, 16:00:00",0.963911111
Navegantes,"07/01/2026, 17:00:00",0.951816667
Navegantes,"07/01/2026, 18:00:00",0.945702778
Navegantes,"07/01/2026, 19:00:00",0.944594444
Navegantes,"07/01/2026, 20:00:00",0.947391667
Navegantes,"07/01/2026, 21:00:00",0.936955556
Navegantes,"07/01/2026, 22:00:00",0.923511111
Navegantes,"07/01/2026, 23:00:00",0.911983333
Navegantes,"08/01/2026, 0:00:00",0.934761111
Navegantes,"08/01/2026, 1:00:00",0.917594444
Navegantes,"08/01/2026, 2:00:00",0.908430556
Navegantes,"08/01/2026, 3:00:00",0.912635248
Navegantes,"08/01/2026, 4:00:00",0.899958333
Navegantes,"08/01/2026, 5:00:00",0.895269444
Navegantes,"08/01/2026, 6:00:00",0.899152778
Navegantes,"08/01/2026, 7:00:00",0.899930556
Navegantes,"08/01/2026, 8:00:00",0.956041667
Navegantes,"08/01/2026, 9:00:00",0.921011111
Navegantes,"08/01/2026, 10:00:00",0.9413041
Navegantes,"08/01/2026, 11:00:00",0.95705489
Navegantes,"08/01/2026, 12:00:00",0.934400229
Navegantes,"08/01/2026, 13:00:00",0.94136745
Navegantes,"08/01/2026, 14:00:00",0.935372222
Navegantes,"08/01/2026, 15:00:00",0.949736111
Navegantes,"08/01/2026, 16:00:00",0.967073309
Navegantes,"08/01/2026, 17:00:00",0.93041502
Navegantes,"08/01/2026, 18:00:00",0.937749716
Navegantes,"08/01/2026, 19:00:00",0.940067682
Navegantes,"08/01/2026, 20:00:00",0.944061433
Navegantes,"08/01/2026, 21:00:00",0.941172592
Navegantes,"08/01/2026, 22:00:00",0.929706376
Navegantes,"08/01/2026, 23:00:00",0.940919771
Navegantes,"09/01/2026, 0:00:00",0.914276188
Navegantes,"09/01/2026, 1:00:00",0.889782062
Navegantes,"09/01/2026, 2:00:00",0.898762094
Navegantes,"09/01/2026, 3:00:00",0.880346381
Navegantes,"09/01/2026, 4:00:00",0.885014061
Navegantes,"09/01/2026, 5:00:00",0.89722287
Navegantes,"09/01/2026, 6:00:00",0.931898518
Navegantes,"09/01/2026, 7:00:00",0.919521425
Navegantes,"09/01/2026, 8:00:00",0.938954624
Navegantes,"09/01/2026, 9:00:00",0.927775242
Navegantes,"09/01/2026, 10:00:00",0.949565972
Navegantes,"09/01/2026, 11:00:00",0.943155692
Navegantes,"09/01/2026, 12:00:00",0.939338889
Navegantes,"09/01/2026, 13:00:00",0.942255466
Navegantes,"09/01/2026, 14:00:00",0.94068427
Navegantes,"09/01/2026, 15:00:00",0.931350731
Navegantes,"09/01/2026, 16:00:00",0.959303056
Navegantes,"09/01/2026, 17:00:00",0.93942086
Navegantes,"09/01/2026, 18:00:00",0.932243017
Navegantes,"09/01/2026, 19:00:00",0.936176716
Navegantes,"09/01/2026, 20:00:00",0.949591494
Navegantes,"09/01/2026, 21:00:00",0.938365682
Navegantes,"09/01/2026, 22:00:00",0.93102349
Navegantes,"09/01/2026, 23:00:00",0.920570225
Navegantes,"10/01/2026, 0:00:00",0.920764457
Navegantes,"10/01/2026, 1:00:00",0.903023453
Navegantes,"10/01/2026, 2:00:00",0.903710129
Navegantes,"10/01/2026, 3:00:00",0.897862206
Navegantes,"10/01/2026, 4:00:00",0.886976875
Navegantes,"10/01/2026, 5:00:00",0.924264789
Navegantes,"10/01/2026, 6:00:00",0.919345372
Navegantes,"10/01/2026, 7:00:00",0.918658817
Navegantes,"10/01/2026, 8:00:00",0.935192199
Navegantes,"10/01/2026, 9:00:00",0.95990163
Navegantes,"10/01/2026, 10:00:00",0.960797494
Navegantes,"10/01/2026, 11:00:00",0.942346479
Navegantes,"10/01/2026, 12:00:00",0.93852431
Navegantes,"10/01/2026, 13:00:00",0.936264481
Navegantes,"10/01/2026, 14:00:00",0.936362352
Navegantes,"10/01/2026, 15:00:00",0.936009083
Navegantes,"10/01/2026, 16:00:00",0.94794241
Navegantes,"10/01/2026, 17:00:00",0.937466667
Navegantes,"10/01/2026, 18:00:00",0.938927778
Navegantes,"10/01/2026, 19:00:00",0.952683333
Navegantes,"10/01/2026, 20:00:00",0.94145
Navegantes,"10/01/2026, 21:00:00",0.939897222
Navegantes,"10/01/2026, 22:00:00",0.930175
Navegantes,"10/01/2026, 23:00:00",0.919738889
Navegantes,"11/01/2026, 0:00:00",0.917880556
Navegantes,"11/01/2026, 1:00:00",0.917683333
Navegantes,"11/01/2026, 2:00:00",0.898869444
Navegantes,"11/01/2026, 3:00:00",0.894027933
Navegantes,"11/01/2026, 4:00:00",0.893722222
Navegantes,"11/01/2026, 5:00:00",0.922697222
Navegantes,"11/01/2026, 6:00:00",0.917327778
Navegantes,"11/01/2026, 7:00:00",0.915741667
Navegantes,"11/01/2026, 8:00:00",0.936975
Navegantes,"11/01/2026, 9:00:00",0.957363889
Navegantes,"11/01/2026, 10:00:00",0.958872222
Navegantes,"11/01/2026, 11:00:00",0.945904418
Navegantes,"11/01/2026, 12:00:00",0.949638889
Navegantes,"11/01/2026, 13:00:00",0.950522222
Navegantes,"11/01/2026, 14:00:00",0.94575408
Navegantes,"11/01/2026, 15:00:00",0.952755556
Navegantes,"11/01/2026, 16:00:00",0.941091667
Navegantes,"11/01/2026, 17:00:00",0.935572222
Navegantes,"11/01/2026, 18:00:00",0.947005556
Navegantes,"11/01/2026, 19:00:00",0.949975
Navegantes,"11/01/2026, 20:00:00",0.943799495
Navegantes,"11/01/2026, 21:00:00",0.937847222
Navegantes,"11/01/2026, 22:00:00",0.928055556
Navegantes,"11/01/2026, 23:00:00",0.924830556
Navegantes,"12/01/2026, 0:00:00",0.895
Navegantes,"12/01/2026, 1:00:00",0.890805556
Navegantes,"12/01/2026, 2:00:00",0.887280556
Navegantes,"12/01/2026, 3:00:00",0.881988271
Navegantes,"12/01/2026, 4:00:00",0.905086111
Navegantes,"12/01/2026, 5:00:00",0.912836111
Navegantes,"12/01/2026, 6:00:00",0.912841667
Navegantes,"12/01/2026, 7:00:00",0.910780556
Navegantes,"12/01/2026, 8:00:00",0.942716667
Navegantes,"12/01/2026, 9:00:00",0.940144565
Navegantes,"12/01/2026, 10:00:00",0.944330556
Navegantes,"12/01/2026, 11:00:00",0.937941667
Navegantes,"12/01/2026, 12:00:00",0.934180556
Navegantes,"12/01/2026, 13:00:00",0.930616667
Navegantes,"12/01/2026, 14:00:00",0.935694444
Navegantes,"12/01/2026, 15:00:00",0.941122222
Navegantes,"12/01/2026, 16:00:00",0.956008333
Navegantes,"12/01/2026, 17:00:00",0.9224
Navegantes,"12/01/2026, 18:00:00",0.920388889
Navegantes,"12/01/2026, 19:00:00",0.938630556
Navegantes,"12/01/2026, 20:00:00",0.930244648
Navegantes,"12/01/2026, 21:00:00",0.933411111
Navegantes,"12/01/2026, 22:00:00",0.919230556
Navegantes,"12/01/2026, 23:00:00",0.904052778
Navegantes,"13/01/2026, 0:00:00",0.885055556
Navegantes,"13/01/2026, 1:00:00",0.885344444
Navegantes,"13/01/2026, 2:00:00",0.892327778
Navegantes,"13/01/2026, 3:00:00",0.879974874
Navegantes,"13/01/2026, 4:00:00",0.890772222
Navegantes,"13/01/2026, 5:00:00",0.902438889
Navegantes,"13/01/2026, 6:00:00",0.904655556
Navegantes,"13/01/2026, 7:00:00",0.929311111
Navegantes,"13/01/2026, 8:00:00",0.944341667
Navegantes,"13/01/2026, 9:00:00",0.956272222
Navegantes,"13/01/2026, 10:00:00",0.951361111
Navegantes,"13/01/2026, 11:00:00",0.932236111
Navegantes,"13/01/2026, 12:00:00",0.931030556
Navegantes,"13/01/2026, 13:00:00",0.937547222
Navegantes,"13/01/2026, 14:00:00",0.922836111
Navegantes,"13/01/2026, 15:00:00",0.927875
Navegantes,"13/01/2026, 16:00:00",0.966005556
Navegantes,"13/01/2026, 17:00:00",0.940669444
Navegantes,"13/01/2026, 18:00:00",0.936825
Navegantes,"13/01/2026, 19:00:00",0.947566667
Navegantes,"13/01/2026, 20:00:00",0.946621284
Navegantes,"13/01/2026, 21:00:00",0.935213889
Navegantes,"13/01/2026, 22:00:00",0.928516667
Navegantes,"13/01/2026, 23:00:00",0.909886111
Navegantes,"14/01/2026, 0:00:00",0.9075
Navegantes,"14/01/2026, 1:00:00",0.914608333
Navegantes,"14/01/2026, 2:00:00",0.902036111
Navegantes,"14/01/2026, 3:00:00",0.912336866
Navegantes,"14/01/2026, 4:00:00",0.9236
Navegantes,"14/01/2026, 5:00:00",0.944811111
Navegantes,"14/01/2026, 6:00:00",0.931894444
Navegantes,"14/01/2026, 7:00:00",0.934222222
Navegantes,"14/01/2026, 8:00:00",0.929416505
Navegantes,"14/01/2026, 9:00:00",0.942461111
Navegantes,"14/01/2026, 10:00:00",0.961513889
Navegantes,"14/01/2026, 11:00:00",0.952294444
Navegantes,"14/01/2026, 12:00:00",0.945944444
Navegantes,"14/01/2026, 13:00:00",0.943397222
Navegantes,"14/01/2026, 14:00:00",0.936061111
Navegantes,"14/01/2026, 15:00:00",0.952588889
Navegantes,"14/01/2026, 16:00:00",0.97535
Navegantes,"14/01/2026, 17:00:00",0.945736111
Navegantes,"14/01/2026, 18:00:00",0.947594444
Navegantes,"14/01/2026, 19:00:00",0.952158333
Navegantes,"14/01/2026, 20:00:00",0.957136111
Navegantes,"14/01/2026, 21:00:00",0.951566667
Navegantes,"14/01/2026, 22:00:00",0.929705556
Navegantes,"14/01/2026, 23:00:00",0.915827778
Navegantes,"15/01/2026, 0:00:00",0.902019444
Navegantes,"15/01/2026, 1:00:00",0.8978
