Nome,Data,Potência Ativa
Navegantes,"22/12/2025, 7:00:00",10300.21097
Navegantes,"22/12/2025, 8:00:00",18489.63503
Navegantes,"22/12/2025, 9:00:00",36277.65609
Navegantes,"22/12/2025, 10:00:00",44608.00669
Navegantes,"22/12/2025, 11:00:00",67091.84939
Navegantes,"22/12/2025, 12:00:00",66809.28471
Navegantes,"22/12/2025, 13:00:00",69998.45041
Navegantes,"22/12/2025, 14:00:00",60424.30736
Navegantes,"22/12/2025, 15:00:00",52043.28723
Navegantes,"22/12/2025, 16:00:00",42882.69371
Navegantes,"22/12/2025, 17:00:00",46277.66666
Navegantes,"22/12/2025, 18:00:00",66368.07026
Navegantes,"22/12/2025, 19:00:00",81213.36831
Navegantes,"22/12/2025, 20:00:00",71054.32766
Navegantes,"22/12/2025, 21:00:00",61190.06474
Navegantes,"22/12/2025, 22:00:00",59867.17399
Navegantes,"22/12/2025, 23:00:00",51902.17078
Navegantes,"23/12/2025, 0:00:00",23731.26922
Navegantes,"23/12/2025, 1:00:00",14359.75503
Navegantes,"23/12/2025, 2:00:00",13506.23071
Navegantes,"23/12/2025, 3:00:00",13045.99278
Navegantes,"23/12/2025, 4:00:00",12894.16158
Navegantes,"23/12/2025, 5:00:00",12643.97364
Navegantes,"23/12/2025, 6:00:00",11427.91612
Navegantes,"23/12/2025, 7:00:00",13216.15324
Navegantes,"23/12/2025, 8:00:00",30385.47316
Navegantes,"23/12/2025, 9:00:00",48351.27747
Navegantes,"23/12/2025, 10:00:00",64244.10406
Navegantes,"23/12/2025, 11:00:00",73184.20416
Navegantes,"23/12/2025, 12:00:00",77763.68074
Navegantes,"23/12/2025, 13:00:00",74035.26298
Navegantes,"23/12/2025, 14:00:00",70406.38485
Navegantes,"23/12/2025, 15:00:00",50978.34539
Navegantes,"23/12/2025, 16:00:00",47024.11759
Navegantes,"23/12/2025, 17:00:00",62706.11402
Navegantes,"23/12/2025, 18:00:00",66893.32513
Navegantes,"23/12/2025, 19:00:00",79065.81208
Navegantes,"23/12/2025, 20:00:00",73308.61321
Navegantes,"23/12/2025, 21:00:00",68380.63995
Navegantes,"23/12/2025, 22:00:00",58133.88031
Navegantes,"23/12/2025, 23:00:00",37845.88611
Navegantes,"24/12/2025, 0:00:00",18996.19392
Navegantes,"24/12/2025, 1:00:00",12718.97888
Navegantes,"24/12/2025, 2:00:00",12287.68997
Navegantes,"24/12/2025, 3:00:00",10769.6507
Navegantes,"24/12/2025, 4:00:00",12681.10199
Navegantes,"24/12/2025, 5:00:00",12580.99481
Navegantes,"24/12/2025, 6:00:00",16675.23261
Navegantes,"24/12/2025, 7:00:00",13187.39461
Navegantes,"24/12/2025, 8:00:00",14574.73043
Navegantes,"24/12/2025, 9:00:00",35866.91395
Navegantes,"24/12/2025, 10:00:00",38373.8915
Navegantes,"24/12/2025, 11:00:00",61274.66417
Navegantes,"24/12/2025, 12:00:00",62841.84049
Navegantes,"24/12/2025, 13:00:00",60291.28437
Navegantes,"24/12/2025, 14:00:00",56616.7746
Navegantes,"24/12/2025, 15:00:00",22994.00921
Navegantes,"24/12/2025, 16:00:00",11532.06634
Navegantes,"24/12/2025, 17:00:00",9733.281242
Navegantes,"24/12/2025, 18:00:00",9877.963861
Navegantes,"24/12/2025, 19:00:00",10472.90877
Navegantes,"24/12/2025, 20:00:00",10425.95721
Navegantes,"24/12/2025, 21:00:00",12541.25256
Navegantes,"24/12/2025, 22:00:00",17915.74666
Navegantes,"24/12/2025, 23:00:00",17399.73121
Navegantes,"25/12/2025, 0:00:00",14655.50293
Navegantes,"25/12/2025, 1:00:00",13614.40361
Navegantes,"25/12/2025, 2:00:00",13682.43735
Navegantes,"25/12/2025, 3:00:00",13505.90819
Navegantes,"25/12/2025, 4:00:00",13216.83206
Navegantes,"25/12/2025, 5:00:00",10301.22377
Navegantes,"25/12/2025, 6:00:00",8870.202269
Navegantes,"25/12/2025, 7:00:00",9736.881733
Navegantes,"25/12/2025, 8:00:00",23818.77918
Navegantes,"25/12/2025, 9:00:00",34014.76999
Navegantes,"25/12/2025, 10:00:00",55089.2037
Navegantes,"25/12/2025, 11:00:00",61147.54927
Navegantes,"25/12/2025, 12:00:00",68867.2358
Navegantes,"25/12/2025, 13:00:00",67119.01783
Navegantes,"25/12/2025, 14:00:00",65995.6159
Navegantes,"25/12/2025, 15:00:00",63076.9889
Navegantes,"25/12/2025, 16:00:00",53321.17204
Navegantes,"25/12/2025, 17:00:00",42790.64404
Navegantes,"25/12/2025, 18:00:00",59259.91206
Navegantes,"25/12/2025, 19:00:00",65791.79612
Navegantes,"25/12/2025, 20:00:00",62485.57756
Navegantes,"25/12/2025, 21:00:00",58913.88706
Navegantes,"25/12/2025, 22:00:00",51759.64516
Navegantes,"25/12/2025, 23:00:00",17153.60504
Navegantes,"26/12/2025, 0:00:00",12507.4699
Navegantes,"26/12/2025, 1:00:00",10958.48069
Navegantes,"26/12/2025, 2:00:00",10784.29243
Navegantes,"26/12/2025, 3:00:00",10164.04218
Navegantes,"26/12/2025, 4:00:00",9990.689353
Navegantes,"26/12/2025, 5:00:00",9955.631783
Navegantes,"26/12/2025, 6:00:00",10078.92666
Navegantes,"26/12/2025, 7:00:00",9945.640789
Navegantes,"26/12/2025, 8:00:00",20760.50681
Navegantes,"26/12/2025, 9:00:00",34558.03773
Navegantes,"26/12/2025, 10:00:00",53339.3487
Navegantes,"26/12/2025, 11:00:00",70264.73032
Navegantes,"26/12/2025, 12:00:00",63970.54854
Navegantes,"26/12/2025, 13:00:00",70305.19054
Navegantes,"26/12/2025, 14:00:00",65114.58845
Navegantes,"26/12/2025, 15:00:00",25967.45249
Navegantes,"26/12/2025, 16:00:00",51148.90182
Navegantes,"26/12/2025, 17:00:00",71524.26927
Navegantes,"26/12/2025, 18:00:00",72082.25553
Navegantes,"26/12/2025, 19:00:00",80092.27158
Navegantes,"26/12/2025, 20:00:00",80289.40559
Navegantes,"26/12/2025, 21:00:00",73860.15607
Navegantes,"26/12/2025, 22:00:00",68415.24668
Navegantes,"26/12/2025, 23:00:00",40118.51808
Navegantes,"27/12/2025, 0:00:00",12963.96892
Navegantes,"27/12/2025, 1:00:00",12225.59553
Navegantes,"27/12/2025, 2:00:00",11073.38861
Navegantes,"27/12/2025, 3:00:00",10896.81282
Navegantes,"27/12/2025, 4:00:00",10679.71288
